iter	Passed	Remaining
524	93609	84694
525	93800	84527
526	93924	84300
527	94069	84092
528	94249	83915
529	94400	83713
530	94553	83513
531	94684	83293
532	94855	83109
533	94993	82897
534	95127	82681
535	95287	82487
536	95406	82259
537	95553	82055
538	95736	81882
539	95921	81710
540	96093	81528
541	96253	81335
542	96401	81133
543	96557	80938
544	96696	80727
545	96853	80534
546	96973	80308
547	97107	80096
548	97276	79911
549	97443	79726
550	97595	79528
551	97715	79305
552	97908	79141
553	98030	78920
554	98195	78733
555	98326	78519
556	98495	78336
557	98616	78115
558	98785	77932
559	98945	77742
560	99107	77554
561	99254	77355
562	99384	77142
563	99522	76935
564	99663	76732
565	99809	76532
566	99931	76314
567	100077	76115
568	100261	75944
569	100412	75749
570	100547	75542
571	100690	75342
572	100831	75139
573	101002	74960
574	101156	74767
575	101302	74570
576	101455	74377
577	101602	74180
578	101754	73987
579	101896	73787
580	102065	73606
581	102201	73402
582	102344	73203
583	102457	72983
584	102623	72801
585	102789	72618
586	102906	72402
587	103061	72213
588	103217	72024
589	103329	71805
590	103488	71618
591	103640	71427
592	103766	71219
593	103923	71032
594	104076	70841
595	104199	70632
596	104383	70463
597	104521	70263
598	104648	70056
599	104802	69868
600	104918	69654
601	105036	69442
602	105210	69268
603	105368	69082
604	105527	68897
605	105666	68700
606	105822	68514
607	105974	68325
608	106112	68127
609	106266	67941
610	106436	67764
611	106588	67575
612	106709	67367
613	106837	67164
614	107004	66986
615	107146	66792
616	107342	66632
617	107475	66432
618	107617	66239
619	107739	66033
620	107869	65833
621	108006	65637
622	108186	65467
623	108365	65296
624	108554	65132
625	108699	64941
626	108861	64761
627	108979	64554
628	109098	64349
629	109242	64158
630	109385	63967
631	109537	63781
632	109702	63603
633	109836	63407
634	109956	63203
635	110110	63019
636	110261	62833
637	110382	62630
638	110474	62412
639	110607	62216
640	110727	62014
641	110838	61807
642	110952	61601
643	111097	61414
644	111220	61214
645	111350	61018
646	111481	60823
647	111603	60624
648	111705	60413
649	111845	60224
650	112021	60054
651	112144	59856
652	112266	59657
653	112399	59465
654	112517	59264
655	112643	59069
656	112751	58864
657	112864	58661
658	113012	58478
659	113128	58278
660	113272	58092
661	113437	57918
662	113647	57766
663	113813	57592
664	113922	57389
665	114052	57197
666	114184	57006
667	114315	56815
668	114446	56624
669	114606	56448
670	114752	56264
671	114877	56071
672	115064	55907
673	115223	55731
674	115365	55546
675	115524	55369
676	115639	55172
677	115778	54986
678	115934	54808
679	116048	54611
680	116192	54427
681	116309	54232
682	116445	54045
683	116575	53856
684	116720	53674
685	116877	53497
686	117059	53332
687	117193	53146
688	117314	52953
689	117441	52763
690	117544	52563
691	117667	52372
692	117790	52181
693	117941	52003
694	118042	51802
695	118143	51602
696	118249	51405
697	118348	51205
698	118439	51001
699	118533	50800
700	118641	50604
701	118747	50408
702	118851	50211
703	118955	50015
704	119048	49814
705	119147	49616
706	119237	49415
707	119329	49215
708	119430	49018
709	119540	48826
710	119640	48630
711	119748	48437
712	119835	48236
713	119941	48043
714	120028	47843
715	120138	47652
716	120259	47466
717	120369	47276
718	120466	47080
719	120556	46883
720	120646	46685
721	120747	46492
722	120855	46302
723	120946	46106
724	121038	45911
725	121136	45718
726	121258	45534
727	121382	45351
728	121523	45175
729	121658	44996
730	121770	44810
731	121909	44633
732	122049	44457
733	122174	44275
734	122272	44084
735	122395	43902
736	122526	43724
737	122632	43536
738	122755	43354
739	122871	43171
740	122986	42987
741	123083	42797
742	123185	42609
743	123293	42423
744	123403	42238
745	123515	42054
746	123612	41866
747	123713	41678
748	123816	41492
749	123914	41304
750	124032	41124
751	124141	40940
752	124247	40755
753	124345	40568
754	124465	40389
755	124592	40212
756	124710	40032
757	124809	39846
758	124902	39659
759	125038	39485
760	125151	39305
761	125234	39115
762	125356	38937
763	125488	38763
764	125611	38586
765	125719	38405
766	125822	38222
767	125924	38039
768	126026	37857
769	126136	37676
770	126248	37497
771	126376	37323
772	126478	37141
773	126596	36964
774	126695	36782
775	126814	36606
776	126927	36428
777	127020	36245
778	127123	36064
779	127223	35883
780	127336	35706
781	127447	35528
782	127569	35354
783	127676	35176
784	127777	34996
785	127871	34814
786	127961	34632
787	128076	34457
788	128181	34279
789	128295	34103
790	128408	33928
791	128500	33747
792	128592	33567
793	128690	33388
794	128813	33216
795	128910	33037
796	129050	32869
797	129157	32694
798	129271	32520
799	129379	32344
800	129491	32170
801	129610	31998
802	129712	31822
803	129823	31648
804	129923	31472
805	130053	31303
806	130161	31129
807	130264	30953
808	130349	30774
809	130457	30601
810	130534	30420
811	130631	30244
812	130740	30071
813	130841	29897
814	130954	29725
815	131048	29550
816	131170	29380
817	131267	29206
818	131367	29032
819	131496	28864
820	131604	28693
821	131716	28522
822	131830	28352
823	131935	28180
824	132020	28004
825	132128	27833
826	132238	27662
827	132345	27492
828	132450	27320
829	132562	27151
830	132651	26977
831	132748	26805
832	132861	26636
833	132971	26466
834	133088	26299
835	133199	26130
836	133320	25963
837	133439	25796
838	133536	25624
839	133665	25460
840	133762	25289
841	133882	25122
842	133963	24949
843	134084	24783
844	134202	24617
845	134312	24449
846	134428	24282
847	134515	24111
848	134675	23952
849	134760	23781
850	134861	23612
851	134964	23444
852	135073	23277
853	135166	23108
854	135278	22941
855	135374	22773
856	135480	22606
857	135584	22439
858	135678	22270
859	135783	22104
860	135888	21937
861	135987	21770
862	136091	21604
863	136199	21438
864	136305	21273
865	136421	21109
866	136540	20945
867	136641	20779
868	136749	20614
869	136867	20451
870	136988	20288
871	137097	20124
872	137211	19960
873	137335	19798
874	137450	19635
875	137535	19468
876	137660	19307
877	137758	19141
878	137864	18977
879	137980	18815
880	138081	18651
881	138182	18486
882	138285	18323
883	138386	18159
884	138471	17993
885	138590	17832
886	138705	17670
887	138815	17508
888	138927	17346
889	139045	17185
890	139137	17021
891	139245	16859
892	139334	16695
893	139426	16531
894	139541	16370
895	139638	16208
896	139734	16045
897	139875	15887
898	139983	15726
899	140085	15565
900	140177	15402
901	140273	15240
902	140377	15079
903	140499	14920
904	140611	14760
905	140725	14600
906	140802	14437
907	140933	14279
908	141014	14116
909	141100	13955
910	141174	13791
911	141251	13629
912	141330	13467
913	141413	13305
914	141497	13144
915	141569	12982
916	141664	12822
917	141737	12660
918	141834	12501
919	141921	12341
920	142011	12181
921	142097	12021
922	142188	11861
923	142271	11702
924	142351	11542
925	142430	11382
926	142510	11222
927	142596	11063
928	142680	10904
929	142779	10746
930	142871	10588
931	142959	10430
932	143029	10271
933	143108	10112
934	143178	9953
935	143251	9794
936	143327	9636
937	143398	9478
938	143475	9320
939	143539	9162
940	143631	9005
941	143725	8849
942	143802	8692
943	143895	8536
944	143970	8379
945	144030	8221
946	144091	8064
947	144157	7907
948	144222	7750
949	144291	7594
950	144383	7439
951	144476	7284
952	144548	7128
953	144610	6972
954	144674	6817
955	144743	6661
956	144807	6506
957	144877	6351
958	144943	6196
959	145018	6042
960	145084	5887
961	145137	5733
962	145210	5579
963	145256	5424
964	145305	5270
965	145340	5115
966	145390	4961
967	145431	4807
968	145473	4653
969	145514	4500
970	145557	4347
971	145605	4194
972	145656	4041
973	145704	3889
974	145750	3737
975	145790	3585
976	145829	3433
977	145888	3281
978	145947	3130
979	145995	2979
980	146041	2828
981	146087	2677
982	146130	2527
983	146174	2376
984	146217	2226
985	146257	2076
986	146291	1926
987	146328	1777
988	146368	1627
989	146410	1478
990	146447	1330
991	146486	1181
992	146528	1032
993	146564	884
994	146608	736
995	146652	588
996	146690	441
997	146734	294
998	146771	146
999	146817	0
